age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
45-54,Female,NHB,Food_price,USD,1117357.74467393,1046063.99406844,1103785.7656001
45-54,Female,NHB,FL,mrh-eq,50931.2054926933,48657.3185186865,50853.0911424819
45-54,Female,HIS,CED,MJ,1776122.58728604,1797185.59451841,1754115.9302181
45-54,Female,HIS,Food_price,USD,1191024.49725683,1192289.50883781,1130025.71989632
45-54,Female,HIS,FL,mrh-eq,63073.8147554334,63701.3240656369,61512.8656745123
45-54,Female,OTH,CED,MJ,1018173.53270651,986534.322534009,1017805.29415603
45-54,Female,OTH,Food_price,USD,648449.012512101,645015.425052189,637869.996287272
45-54,Female,OTH,FL,mrh-eq,36471.9789093529,35689.5493567049,36396.6784381416
45-54,Male,NHW,CED,MJ,7310550.92841211,7439281.21676845,7305170.15096924
45-54,Male,NHW,Food_price,USD,5104587.20721875,4988787.47249911,4925480.29963336
45-54,Male,NHW,FL,mrh-eq,256028.199060709,258432.872309889,253205.710840677
45-54,Male,NHB,CED,MJ,1472563.13676626,1473129.25136294,1509894.76236921
45-54,Male,NHB,Food_price,USD,858102.608383915,842430.369982866,881938.046157896
45-54,Male,NHB,FL,mrh-eq,50836.8318483069,50346.167116092,52080.8899400675
45-54,Male,HIS,CED,MJ,1939572.16070483,2129017.08627934,1975697.82806413
45-54,Male,HIS,Food_price,USD,988611.94063616,1101882.36356947,976519.829126079
45-54,Male,HIS,FL,mrh-eq,67171.8125207265,73708.7973473501,68169.8182235837
45-54,Male,OTH,CED,MJ,1448568.37966412,1574951.77092036,1524561.5069131
45-54,Male,OTH,Food_price,USD,636934.959177307,766976.359408464,690225.367886568
45-54,Male,OTH,FL,mrh-eq,50456.8018163334,55899.7252255661,53314.2734648145
55-64,Female,NHW,CED,MJ,11447698.3239482,11839513.6144309,11453865.9369151
55-64,Female,NHW,Food_price,USD,7626671.08086237,8038635.67611699,7723407.44321857
55-64,Female,NHW,FL,mrh-eq,403940.9090175,421710.751003652,406170.637602239
55-64,Female,NHB,CED,MJ,1982742.7981061,1976419.19553239,2015298.4874556
55-64,Female,NHB,Food_price,USD,1505619.05334368,1456836.12594533,1587637.4034808
55-64,Female,NHB,FL,mrh-eq,69991.2201890706,69389.8761256056,71937.0565716691
55-64,Female,HIS,CED,MJ,1860838.40431971,1776638.38621193,1797206.29347851
55-64,Female,HIS,Food_price,USD,1019330.25321744,1000843.2005615,943135.216334872
55-64,Female,HIS,FL,mrh-eq,65687.5054733191,63811.9029086945,63400.5077016965
55-64,Female,OTH,CED,MJ,1453323.68782462,1394445.89016614,1473512.2121492
55-64,Female,OTH,Food_price,USD,997259.352167368,977776.384492058,1100385.00296728
55-64,Female,OTH,FL,mrh-eq,50299.1547204528,48354.1041312889,52206.3317841222
55-64,Male,NHW,CED,MJ,10822111.9339217,11477688.8386255,10953120.4995192
55-64,Male,NHW,Food_price,USD,6507219.82415518,6760121.14941622,6141337.91640143
55-64,Male,NHW,FL,mrh-eq,380220.804337715,403436.349359456,381634.966072076
55-64,Male,NHB,CED,MJ,1297170.44034753,1318144.80061172,1304755.60197531
55-64,Male,NHB,Food_price,USD,657491.611789706,682849.493688526,693062.615136453
55-64,Male,NHB,FL,mrh-eq,43376.5665038522,44176.3153263081,43765.4495067226
55-64,Male,HIS,CED,MJ,1689912.69742422,1663502.49044229,1626456.05401858
55-64,Male,HIS,Food_price,USD,815728.086387188,799595.629891123,733322.470757005
55-64,Male,HIS,FL,mrh-eq,59524.0476924359,58717.5048318288,56298.2675846132
55-64,Male,OTH,CED,MJ,1183576.47675445,1340796.32660776,1216191.77525002
55-64,Male,OTH,Food_price,USD,605449.779283476,697175.74641486,590442.083375787
55-64,Male,OTH,FL,mrh-eq,43746.306049862,50304.2577821872,44024.8825392874
65-74,Female,NHW,CED,MJ,8049959.09603266,7948473.14540804,7991926.0176545
65-74,Female,NHW,Food_price,USD,5038371.85727747,5079863.2463304,5068728.01126829
65-74,Female,NHW,FL,mrh-eq,278826.102462004,277279.118763269,276856.865497766
65-74,Female,NHB,CED,MJ,921595.866735882,935849.275213947,936809.616821288
65-74,Female,NHB,Food_price,USD,593003.425366763,601909.713320604,574598.723429068
65-74,Female,NHB,FL,mrh-eq,33830.1747776896,34468.0380268063,33896.522475732
65-74,Female,HIS,CED,MJ,924480.073195164,963896.427136361,915251.992052661
65-74,Female,HIS,Food_price,USD,453619.783699359,489182.394379914,450072.112981326
65-74,Female,HIS,FL,mrh-eq,33870.8607356268,35892.4753996039,33583.1495623139
65-74,Female,OTH,CED,MJ,602800.099261132,623623.191951162,613912.213831307
65-74,Female,OTH,Food_price,USD,373719.13129763,427886.158390068,383068.523462612
65-74,Female,OTH,FL,mrh-eq,21437.2751593523,23137.3182380067,22006.8607360509
65-74,Male,NHW,CED,MJ,7226738.23235677,7266498.92718404,7319476.64229634
65-74,Male,NHW,Food_price,USD,3954249.92880072,4108498.67676554,4086688.59051478
65-74,Male,NHW,FL,mrh-eq,251675.204442368,255242.562513482,256901.979233726
65-74,Male,NHB,CED,MJ,722902.841930802,706852.391266578,693163.153486751
65-74,Male,NHB,Food_price,USD,398703.82892067,397054.072921611,411290.125790385
65-74,Male,NHB,FL,mrh-eq,24792.1804944367,24187.5536418803,24042.624374797
65-74,Male,HIS,CED,MJ,668096.427113599,654809.547077073,637797.895674456
65-74,Male,HIS,Food_price,USD,403661.721114657,382606.071667303,344494.694600476
65-74,Male,HIS,FL,mrh-eq,23453.0238499615,23158.906575371,22219.2146632697
65-74,Male,OTH,CED,MJ,499497.93797639,519698.496811806,507101.185729908
