age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
35-44,Female,OTH,added_sugar,Food_price,USD,-0.208507599561581,-0.229641571721148,-0.228027199684839
35-44,Female,OTH,added_sugar,FL,mrh-eq,-0.0106078174018753,-0.0116830075537757,-0.0116008764285032
35-44,Female,OTH,oil,CED,MJ,-0.00695916106874664,-0.0137696668141717,-0.01258041334377
35-44,Female,OTH,oil,Food_price,USD,-0.00740793901436142,-0.0146576363156129,-0.0133916910250349
35-44,Female,OTH,oil,FL,mrh-eq,-0.00039698588295799,-0.000785491711466563,-0.000717650655002368
35-44,Female,OTH,sat_fat,CED,MJ,-0.51425162940467,-0.563519386829448,-0.468880820201627
35-44,Female,OTH,sat_fat,Food_price,USD,-0.0797980540566707,-0.0874430880155999,-0.0727577218956026
35-44,Female,OTH,sat_fat,FL,mrh-eq,-0.0138267113181282,-0.0151513761713881,-0.012606823922056
35-44,Male,HIS,added_sugar,CED,MJ,-0.212331771116407,-0.168671556629032,-0.176586847450647
35-44,Male,HIS,added_sugar,Food_price,USD,-0.24622827515265,-0.195598172792097,-0.204777055425114
35-44,Male,HIS,added_sugar,FL,mrh-eq,-0.00896349046569217,-0.00712039409707047,-0.00745453454830721
35-44,Male,HIS,oil,CED,MJ,0.0351974095569161,0.0312393221519188,0.020885624102763
35-44,Male,HIS,oil,Food_price,USD,0.0387349071613169,0.0343790142107,0.0229847230466915
35-44,Male,HIS,oil,FL,mrh-eq,0.0017972239265138,0.00159511901376472,0.0010664461910744
35-44,Male,HIS,sat_fat,CED,MJ,-0.406904455182533,-0.494943558019802,-0.428155743209497
35-44,Male,HIS,sat_fat,Food_price,USD,-0.0549903934444143,-0.0668882845632099,-0.0578623617281703
35-44,Male,HIS,sat_fat,FL,mrh-eq,-0.0113619523563505,-0.0138202594090077,-0.0119553499439122
35-44,Male,NHB,added_sugar,CED,MJ,-0.18359361023293,-0.207637648655408,-0.191355291016662
35-44,Male,NHB,added_sugar,Food_price,USD,-0.148828679411701,-0.168319785238322,-0.155120623339337
35-44,Male,NHB,added_sugar,FL,mrh-eq,-0.0070207766212836,-0.0079402412073528,-0.00731758993041319
35-44,Male,NHB,oil,CED,MJ,0.0113095472985399,0.0223274743703423,0.0162630088935327
35-44,Male,NHB,oil,Food_price,USD,0.014286644406781,0.0282049032034889,0.020544042914628
35-44,Male,NHB,oil,FL,mrh-eq,0.000575927031250991,0.00113700360323919,0.000828176953861806
