sex_gp,race_gp,age_gp,subgroup_id,population,Foodgroup,Intake_unit,outcome,outcome_unit,subgroup,Age,Age_label,Sex,Sex_label,Race,Race_label,population.se,agecat,female,race,age,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
Female,NHB,75+,42,1249362,added_sugar,tsp eq/day,CED,MJ,42,6,75+,1,Female,2,NHB,0,6,1,2,75,0.4696540206113216,0.06264294887294791,0.5037522290271155,0.40267855912442707,0.5076460049447914
Female,NHB,75+,42,1249362,added_sugar,tsp eq/day,Food_price,USD,42,6,75+,1,Female,2,NHB,0,6,1,2,75,0.6702064128231324,0.08719627994539586,0.7179240459590038,0.5769836033186171,0.722869234162157
Female,NHB,75+,42,1249362,added_sugar,tsp eq/day,FL,mrh-eq,42,6,75+,1,Female,2,NHB,0,6,1,2,75,0.023935906943376748,0.003192596526544998,0.025673721393498865,0.02052250400571352,0.025872167598436174
Female,NHB,75+,42,1249362,oil,g/day,CED,MJ,42,6,75+,1,Female,2,NHB,0,6,1,2,75,0.2889315006525451,0.011807182775916095,0.2943082391569441,0.27633866450828626,0.2969541090680648
Female,NHB,75+,42,1249362,oil,g/day,Food_price,USD,42,6,75+,1,Female,2,NHB,0,6,1,2,75,0.2367978533487644,0.010032138647254565,0.24150104665900915,0.22608931529760015,0.24350867708622065
Female,NHB,75+,42,1249362,oil,g/day,FL,mrh-eq,42,6,75+,1,Female,2,NHB,0,6,1,2,75,0.013211824178874579,5.399010579702243e-4,0.013457683573282862,0.012635997947828236,0.01357866992467388
Female,NHB,75+,42,1249362,sat_fat,g/day,CED,MJ,42,6,75+,1,Female,2,NHB,0,6,1,2,75,1.0936183830392165,0.03084917900607447,1.1039072981130824,1.0611879988588329,1.1173031894068144
Female,NHB,75+,42,1249362,sat_fat,g/day,Food_price,USD,42,6,75+,1,Female,2,NHB,0,6,1,2,75,0.1287735098022596,0.003667153626498485,0.12964450099137056,0.12499403664624231,0.1318126404475326
Female,NHB,75+,42,1249362,sat_fat,g/day,FL,mrh-eq,42,6,75+,1,Female,2,NHB,0,6,1,2,75,0.02805498782283003,0.00079138514383281905,0.028318933081600547,0.027223039450910855,0.028662582724794265
Female,NHW,20-34,1,18192633,added_sugar,tsp eq/day,CED,MJ,1,1,20-34,1,Female,1,NHW,0,1,1,1,25,0.3969714404118119,0.00865630191410286,0.39752393811096887,0.3885257143943751,0.4049475433849653
Female,NHW,20-34,1,18192633,added_sugar,tsp eq/day,Food_price,USD,1,1,20-34,1,Female,1,NHW,0,1,1,1,25,0.853557635169681,0.022678451182385696,0.8653778802582425,0.8293091783140732,0.8677588837000115
Female,NHW,20-34,1,18192633,added_sugar,tsp eq/day,FL,mrh-eq,1,1,20-34,1,Female,1,NHW,0,1,1,1,25,0.018265646264290003,3.9829804520919083e-4,0.01829106806169734,0.01787703734139221,0.018632646659391554
Female,NHW,20-34,1,18192633,oil,g/day,CED,MJ,1,1,20-34,1,Female,1,NHW,0,1,1,1,25,0.2738754997479777,0.006577508570725175,0.27218413347095555,0.2685026092816792,0.280686051549745
Female,NHW,20-34,1,18192633,oil,g/day,Food_price,USD,1,1,20-34,1,Female,1,NHW,0,1,1,1,25,0.18959698649466267,0.004627348268054046,0.18796064019281536,0.1861076723420634,0.19447719500383212
Female,NHW,20-34,1,18192633,oil,g/day,FL,mrh-eq,1,1,20-34,1,Female,1,NHW,0,1,1,1,25,0.014600556004516737,3.506530607718745e-4,0.014510387705145154,0.014314122248187656,0.01496363281531166
Female,NHW,20-34,1,18192633,sat_fat,g/day,CED,MJ,1,1,20-34,1,Female,1,NHW,0,1,1,1,25,1.3805312973125816,0.017378913975333986,1.3808654986902358,1.363881583151794,1.3968969403023628
Female,NHW,20-34,1,18192633,sat_fat,g/day,Food_price,USD,1,1,20-34,1,Female,1,NHW,0,1,1,1,25,0.16383925500269214,0.001614089562599956,0.16414850910155834,0.1621956927900326,0.16521995123131542
Female,NHW,20-34,1,18192633,sat_fat,g/day,FL,mrh-eq,1,1,20-34,1,Female,1,NHW,0,1,1,1,25,0.03598256866473259,4.5296906100807804e-4,0.03599127938649799,0.03554860567946383,0.03640912753650076
Female,NHW,35-44,9,10789518,added_sugar,tsp eq/day,CED,MJ,9,2,35-44,1,Female,1,NHW,0,2,1,1,35,0.3899956821284989,0.015219091907545657,0.3855017798901721,0.3779281753172519,0.4058830058423236
Female,NHW,35-44,9,10789518,added_sugar,tsp eq/day,Food_price,USD,9,2,35-44,1,Female,1,NHW,0,2,1,1,35,0.672251581980406,0.01194311785112029,0.6657226406492255,0.6650325013465401,0.6850202627457754
Female,NHW,35-44,9,10789518,added_sugar,tsp eq/day,FL,mrh-eq,9,2,35-44,1,Female,1,NHW,0,2,1,1,35,0.018285315780780152,7.13561493571838e-4,0.01807461493130593,0.017719519330096228,0.019030207953517172
Female,NHW,35-44,9,10789518,oil,g/day,CED,MJ,9,2,35-44,1,Female,1,NHW,0,2,1,1,35,0.3023222678434585,0.015606920231614807,0.29574408314128586,0.2913144743201389,0.31892151836362487
Female,NHW,35-44,9,10789518,oil,g/day,Food_price,USD,9,2,35-44,1,Female,1,NHW,0,2,1,1,35,0.16225950681727022,0.007891995414518564,0.15864381556913618,0.15691416982289524,0.1706781813725591
