"age","female","outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
35,0,"OTH","leg_tot",11.4274477566102,2.02487587626309,12.3831909458624,9.26567372895089,12.7768400734053,0.0233825248769192,0.00307604723759336,0.0249071601350974,0.0200952158461815,0.0253738939382055,2.49071601350974,2.00952158461815,2.53738939382055,0.0576630188382714,0.0102175444845573,0.0624857087949607,0.0467546848746442,0.0644720663387127
35,0,"PC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"PC","leg_tot",1.87459881060903,0.567851673730359,2.07096711586058,1.27644288925153,2.30584167250271,0.0043824602023869,0.0012218057510461,0.00469729113764563,0.00311721128047856,0.00538010282932533,0.469729113764563,0.311721128047856,0.538010282932533,0.00945924486662576,0.00286538538237611,0.0104501213533207,0.00644094393923719,0.0116353007803237
35,0,"PVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"PVD","leg_tot",0.388119945342329,0.168604577962567,0.473639852462588,0.2078803011496,0.495667668482839,0.0261203078057423,0.00213071292748409,0.026889836965321,0.023870638573069,0.0277158772527737,2.6889836965321,2.3870638573069,2.77158772527737,0.00195845723353561,0.000850780433421838,0.00238999156389123,0.00104896613632392,0.00250114414994502
35,0,"RHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"RHD","leg_tot",1.1150416206319,0.311177770277667,0.952103663663218,0.920812892277122,1.44776761241005,0.0275692881912375,0.00720262041649737,0.0278768144514613,0.0206007793960929,0.034276399665192,2.78768144514612,2.06007793960929,3.4276399665192,0.00562651147879991,0.00157020622729979,0.00480432487315828,0.00464643131911803,0.00730545025327719
35,0,"SCC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"SCC","leg_tot",2.01547788272597,0.829542458050558,1.77496102418255,1.35487983393021,2.88051526128364,0.0108681733732147,0.0054646591540926,0.00899238140956842,0.00670864645047408,0.0166221234650546,0.899238140956842,0.670864645047408,1.66221234650546,0.0101701221125706,0.00418587976987649,0.00895647157217862,0.00683673756830954,0.0145351096161648
35,0,"SCNC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"SCNC","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"TC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"TC","leg_tot",4.59717093335921,1.59519793064405,5.11692242974309,2.92241949542926,5.83013359936285,0.00291722042038468,0.00102549062843153,0.00325903118673874,0.00183920512166999,0.00370469656769842,0.325903118673874,0.183920512166999,0.370469656769842,0.0231973717823129,0.00804938515446645,0.0258200431753952,0.0147465588123814,0.0294189140681245
35,0,"UC","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
35,0,"UC","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
35,1,"AA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"AA","leg_tot",2.20798705883171,0.627563465550414,2.35583380467658,1.56150733231309,2.72879705138221,0.0248857339220834,0.0047124498295941,0.024616364049184,0.020528877517785,0.0294715547183464,2.4616364049184,2.0528877517785,2.94715547183464,0.0104931044684098,0.00298239474649007,0.0111957224222874,0.00742081322470192,0.0129681704513216
35,1,"AFF","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"AFF","leg_tot",0.552807416197438,0.192271281969569,0.520949217546113,0.385579755549939,0.747114545698564,0.0269749620990019,0.0051440233524167,0.0287382368154007,0.0215590369986887,0.0308921036903761,2.87382368154007,2.15590369986887,3.08921036903761,0.00262712860832646,0.000913738438779287,0.00247572762738023,0.00183240596438558,0.00355054208607164
35,1,"APCA","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
35,1,"APCA","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
