"age","female","race","outcome","riskfactor","V1","V2","V3"
35,1,4,"HSTK","dairy_tot",0,0,0
35,1,4,"IHD","dairy_tot",0,0,0
35,1,4,"ISTK","dairy_tot",0,0,0
35,1,4,"KC","dairy_tot",0,0,0
35,1,4,"LC","dairy_tot",0,0,0
35,1,4,"LVC","dairy_tot",0,0,0
35,1,4,"MLPC","dairy_tot",0,0,0
35,1,4,"MMC","dairy_tot",0,0,0
35,1,4,"OC","dairy_tot",0,0,0
35,1,4,"OSTK","dairy_tot",0,0,0
35,1,4,"OTH","dairy_tot",0,0,0
35,1,4,"PC","dairy_tot",0,0,0
35,1,4,"PVD","dairy_tot",0,0,0
35,1,4,"RHD","dairy_tot",0,0,0
35,1,4,"SCC","dairy_tot",0,NA,0
35,1,4,"SCNC","dairy_tot",0,0,0
35,1,4,"TC","dairy_tot",0,0,0
35,1,4,"UC","dairy_tot",0,0,0
45,0,1,"AA","dairy_tot",0,0,0
45,0,1,"AFF","dairy_tot",0,0,0
45,0,1,"APCA","dairy_tot",0,0,0
45,0,1,"BC","dairy_tot",NA,NA,NA
45,0,1,"CC","dairy_tot",0.0778844004587996,0.0599893356856338,0.0498946324625435
45,0,1,"CM","dairy_tot",0,0,0
45,0,1,"DIAB","dairy_tot",0,0,0
45,0,1,"ECA","dairy_tot",0,0,0
45,0,1,"ENDO","dairy_tot",0,0,0
45,0,1,"GC","dairy_tot",0,0,0
45,0,1,"HHD","dairy_tot",0,0,0
45,0,1,"HSTK","dairy_tot",0,0,0
45,0,1,"IHD","dairy_tot",0,0,0
45,0,1,"ISTK","dairy_tot",0,0,0
45,0,1,"KC","dairy_tot",0,0,0
45,0,1,"LC","dairy_tot",0,0,0
45,0,1,"LVC","dairy_tot",0,0,0
45,0,1,"MLPC","dairy_tot",0,0,0
45,0,1,"MMC","dairy_tot",0,0,0
45,0,1,"OC","dairy_tot",NA,NA,NA
45,0,1,"OSTK","dairy_tot",0,0,0
45,0,1,"OTH","dairy_tot",0,0,0
45,0,1,"PC","dairy_tot",0,0,0
45,0,1,"PVD","dairy_tot",0,0,0
45,0,1,"RHD","dairy_tot",0,0,0
45,0,1,"SCC","dairy_tot",0,0,0
45,0,1,"SCNC","dairy_tot",0,0,0
45,0,1,"TC","dairy_tot",0,0,0
45,0,1,"UC","dairy_tot",NA,NA,NA
45,0,2,"AA","dairy_tot",0,0,0
45,0,2,"AFF","dairy_tot",0,0,0
45,0,2,"APCA","dairy_tot",0,0,0
45,0,2,"BC","dairy_tot",NA,NA,NA
45,0,2,"CC","dairy_tot",0.0895744808706954,0.0848271402992456,0.0963384743463476
45,0,2,"CM","dairy_tot",0,0,0
45,0,2,"DIAB","dairy_tot",0,0,0
45,0,2,"ECA","dairy_tot",0,0,0
45,0,2,"ENDO","dairy_tot",0,0,0
45,0,2,"GC","dairy_tot",0,0,0
45,0,2,"HHD","dairy_tot",0,0,0
45,0,2,"HSTK","dairy_tot",0,0,0
45,0,2,"IHD","dairy_tot",0,0,0
45,0,2,"ISTK","dairy_tot",0,0,0
45,0,2,"KC","dairy_tot",0,0,0
45,0,2,"LC","dairy_tot",0,0,0
45,0,2,"LVC","dairy_tot",0,0,0
45,0,2,"MLPC","dairy_tot",0,0,0
45,0,2,"MMC","dairy_tot",0,0,0
45,0,2,"OC","dairy_tot",NA,NA,NA
45,0,2,"OSTK","dairy_tot",0,0,0
45,0,2,"OTH","dairy_tot",0,0,0
45,0,2,"PC","dairy_tot",0,0,0
45,0,2,"PVD","dairy_tot",0,0,0
45,0,2,"RHD","dairy_tot",0,0,0
45,0,2,"SCC","dairy_tot",0,0,0
45,0,2,"SCNC","dairy_tot",0,0,0
45,0,2,"TC","dairy_tot",0,0,0
45,0,2,"UC","dairy_tot",NA,NA,NA
45,0,3,"AA","dairy_tot",0,0,0
45,0,3,"AFF","dairy_tot",0,0,0
45,0,3,"APCA","dairy_tot",0,0,0
45,0,3,"BC","dairy_tot",NA,NA,NA
45,0,3,"CC","dairy_tot",0.0764453635755457,0.0944946351948447,0.0596613345750495
45,0,3,"CM","dairy_tot",0,0,0
45,0,3,"DIAB","dairy_tot",0,0,0
45,0,3,"ECA","dairy_tot",0,0,0
45,0,3,"ENDO","dairy_tot",0,0,0
45,0,3,"GC","dairy_tot",0,0,0
45,0,3,"HHD","dairy_tot",0,0,0
45,0,3,"HSTK","dairy_tot",0,0,0
45,0,3,"IHD","dairy_tot",0,0,0
45,0,3,"ISTK","dairy_tot",0,0,0
45,0,3,"KC","dairy_tot",0,0,0
45,0,3,"LC","dairy_tot",0,0,0
45,0,3,"LVC","dairy_tot",0,0,0
45,0,3,"MLPC","dairy_tot",0,0,0
45,0,3,"MMC","dairy_tot",0,0,0
45,0,3,"OC","dairy_tot",NA,NA,NA
45,0,3,"OSTK","dairy_tot",0,0,0
45,0,3,"OTH","dairy_tot",0,0,0
45,0,3,"PC","dairy_tot",0,0,0
45,0,3,"PVD","dairy_tot",0,0,0
45,0,3,"RHD","dairy_tot",0,0,0
45,0,3,"SCC","dairy_tot",0,0,0
45,0,3,"SCNC","dairy_tot",0,0,0
45,0,3,"TC","dairy_tot",0,0,0
45,0,3,"UC","dairy_tot",NA,NA,NA
45,0,4,"AA","dairy_tot",0,0,0
45,0,4,"AFF","dairy_tot",0,0,0
45,0,4,"APCA","dairy_tot",0,0,0
45,0,4,"BC","dairy_tot",NA,NA,NA
