"female","race","outcome","riskfactor","V1","V2","V3"
0,2,"BC","leg_tot",0,0,0
0,3,"BC","leg_tot",0,0,0
0,4,"BC","leg_tot",0,0,0
1,1,"BC","leg_tot",1141.34261010434,946.880449949203,1051.61468265898
1,2,"BC","leg_tot",147.451549079369,166.297188886731,128.722770202483
1,3,"BC","leg_tot",74.0111939235157,84.5689106271274,116.143304327588
1,4,"BC","leg_tot",104.906960782396,76.4822908447828,71.6356887436778
0,1,"CC","leg_tot",113.835448794882,140.072853668948,88.7639104237362
0,2,"CC","leg_tot",38.168423494254,13.7964186988115,25.6249991165466
0,3,"CC","leg_tot",19.6633698140427,20.0605543741527,11.5828622253434
0,4,"CC","leg_tot",13.8350919032815,15.9609122456531,24.6106929736738
1,1,"CC","leg_tot",140.845779180707,117.376321625568,81.280242586242
1,2,"CC","leg_tot",11.9110970039262,16.7597871258446,19.5553694101816
1,3,"CC","leg_tot",14.9027428620985,12.9978753494876,10.1851032905179
1,4,"CC","leg_tot",8.37508762980211,13.4801874110781,17.4375829663795
0,1,"CM","leg_tot",138.916047437892,128.975073555764,117.427489442893
0,2,"CM","leg_tot",47.9513127684249,43.5085977233945,36.4033842601669
0,3,"CM","leg_tot",15.1485954115027,11.8697813523743,8.87689089545135
0,4,"CM","leg_tot",5.86734427180153,7.27095541584716,6.17651262349328
1,1,"CM","leg_tot",60.0173139537469,85.4370081912684,67.6180588689505
1,2,"CM","leg_tot",24.1353430213366,25.7195199009595,22.4951848559638
1,3,"CM","leg_tot",8.28369888930462,9.18683048419627,8.3690618179038
1,4,"CM","leg_tot",2.90115693280272,4.5620912084168,2.78638035732081
0,1,"DIAB","leg_tot",1031.05588393581,1281.71189285488,987.390345083324
0,2,"DIAB","leg_tot",281.430670367687,236.353512129134,217.348614607493
0,3,"DIAB","leg_tot",125.801054859518,102.868182072407,134.262144730739
0,4,"DIAB","leg_tot",56.5417115793611,54.0871549247745,42.597941329362
1,1,"DIAB","leg_tot",714.801608033608,654.19611378136,887.481272594847
1,2,"DIAB","leg_tot",214.653148473834,239.762269783224,238.609973994484
1,3,"DIAB","leg_tot",101.807396600892,122.860497084761,93.4646270738303
1,4,"DIAB","leg_tot",48.016559819186,53.7718954536714,45.8909013084544
0,1,"ECA","leg_tot",161.503217623503,197.727899699027,146.191786651166
0,2,"ECA","leg_tot",3.36611790276377,5.02662767579169,4.63077829956273
0,3,"ECA","leg_tot",9.79000246455795,7.20034192235158,8.45255548316537
0,4,"ECA","leg_tot",2.89532125908779,3.78266853984403,3.73257510575081
1,1,"ECA","leg_tot",26.4638348510554,23.0893293143209,28.1388535711419
1,2,"ECA","leg_tot",1.37568946090127,0.81836943284163,1.31584121359527
1,3,"ECA","leg_tot",2.3197800090236,1.18941786759709,1.82986680398375
1,4,"ECA","leg_tot",0.357430139201689,0.504366331842518,0.370818169688137
0,1,"ENDO","leg_tot",14.6747074608134,16.5353944649267,13.9021389411436
0,2,"ENDO","leg_tot",2.78306579773391,2.02689578524648,1.68259917176057
0,3,"ENDO","leg_tot",1.50506282728928,1.07669767686971,0.99940925175187
0,4,"ENDO","leg_tot",0.969926927165474,1.08507520552548,0.935682697181389
1,1,"ENDO","leg_tot",11.0352875334982,8.21628753721213,9.10509926661098
1,2,"ENDO","leg_tot",1.54540359768352,1.58533501906757,1.87340979686327
1,3,"ENDO","leg_tot",0.611757406401604,1.27389310149072,1.11050666448456
1,4,"ENDO","leg_tot",0.63789042037467,0.834052903734555,0.742511150697449
0,1,"GC","leg_tot",9.27246971115113,6.27492083936812,9.60321863073644
0,2,"GC","leg_tot",1.41869900548701,1.81723459831275,1.85834956533522
0,3,"GC","leg_tot",2.19622423191844,1.57360783239514,1.70906857387599
0,4,"GC","leg_tot",1.48342997901453,1.39090975721878,1.8014631095389
1,1,"GC","leg_tot",17.279905331434,20.4192020966923,18.6005527717966
1,2,"GC","leg_tot",4.80649696161153,3.9944209678284,3.84773154118783
1,3,"GC","leg_tot",3.25163211291224,5.02013868433871,5.1820310810075
1,4,"GC","leg_tot",3.70363813705745,1.93020387350327,2.2959293752462
0,1,"HHD","leg_tot",624.204899980791,527.290928270804,558.141465108052
0,2,"HHD","leg_tot",199.767676917996,144.702690659764,129.765907424657
0,3,"HHD","leg_tot",38.0395513097583,46.2594344372352,51.2164008093217
0,4,"HHD","leg_tot",15.7952535654906,18.7541361941135,18.8702482834542
1,1,"HHD","leg_tot",627.383723733456,498.452787793325,318.836797233851
1,2,"HHD","leg_tot",101.218874332293,111.398916967948,152.237277878347
1,3,"HHD","leg_tot",48.7760198160504,52.2249270336151,38.3667672408231
1,4,"HHD","leg_tot",14.2355105032772,13.0689090197669,12.8530114264457
0,1,"HSTK","leg_tot",703.470427569629,647.926145558684,580.532759906291
0,2,"HSTK","leg_tot",192.989762352462,164.507714892035,221.787954108793
0,3,"HSTK","leg_tot",90.5368952257967,96.1524534620797,129.839251134415
0,4,"HSTK","leg_tot",58.6280983468111,48.6104281649464,62.8252082510168
1,1,"HSTK","leg_tot",1015.89277099458,1025.02793057856,1116.13609144671
1,2,"HSTK","leg_tot",198.107992851217,237.090942469259,208.85402938356
1,3,"HSTK","leg_tot",89.4024383274162,98.4732017578155,116.008768681847
1,4,"HSTK","leg_tot",61.2418571078005,85.7020578985104,77.1322508135245
0,1,"IHD","leg_tot",5714.8889043348,5599.9673720538,5275.33984015773
0,2,"IHD","leg_tot",738.880937802877,642.911562180773,834.965664682764
0,3,"IHD","leg_tot",416.467809422318,348.79179954867,338.254965733516
0,4,"IHD","leg_tot",186.601082888345,227.020180660686,188.270661719303
1,1,"IHD","leg_tot",3369.92999410876,2658.76116379639,3510.92116976386
1,2,"IHD","leg_tot",414.678773409974,542.18716697939,689.168490834068
