age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
35-44,Male,NHB,oil,CED,MJ,0.0236647838547172,0.0174171272795013,0.019892667400705
35-44,Male,NHB,oil,Food_price,USD,0,0,0
35-44,Male,NHB,oil,FL,mrh-eq,0.00120510470939922,0.000886949242283014,0.0010130135696263
35-44,Male,NHB,sat_fat,CED,MJ,-0.388831238890512,-0.346466816215199,-0.372865216675933
35-44,Male,NHB,sat_fat,Food_price,USD,-0.0194052875809822,-0.0172910186565961,-0.0186084759526719
35-44,Male,NHB,sat_fat,FL,mrh-eq,-0.010643397449552,-0.00948376482965044,-0.0102063628105579
35-44,Male,NHW,added_sugar,CED,MJ,-0.143485535158897,-0.146628479176025,-0.147708782618369
35-44,Male,NHW,added_sugar,Food_price,USD,-0.431297200551335,-0.440744445213144,-0.443991684385462
35-44,Male,NHW,added_sugar,FL,mrh-eq,-0.00615902157957243,-0.00629393037022816,-0.00634030168010629
35-44,Male,NHW,oil,CED,MJ,0.0125360579095896,0.0093936499012558,0.00417315230307008
35-44,Male,NHW,oil,Food_price,USD,0,0,0
35-44,Male,NHW,oil,FL,mrh-eq,0.000597501644140406,0.000447726175242552,0.000198903465532437
35-44,Male,NHW,sat_fat,CED,MJ,-0.345976058980973,-0.342144322085126,-0.371440194519119
35-44,Male,NHW,sat_fat,Food_price,USD,-0.0159735343230006,-0.0157966250275921,-0.0171492001890786
35-44,Male,NHW,sat_fat,FL,mrh-eq,-0.00961489063739952,-0.00950840427729308,-0.0103225548587226
35-44,Male,OTH,added_sugar,CED,MJ,-0.0516148802854,-0.045996699712744,-0.0505404806962217
35-44,Male,OTH,added_sugar,Food_price,USD,-0.151813640552581,-0.13528901739545,-0.148653534161954
35-44,Male,OTH,added_sugar,FL,mrh-eq,-0.00267462775929869,-0.0023834996653597,-0.00261895352446746
35-44,Male,OTH,oil,CED,MJ,0.0123613745481323,0.00541292899906517,0.0281491247063479
35-44,Male,OTH,oil,Food_price,USD,0.00167500724967232,0.000733469832185095,0.00381429975861276
35-44,Male,OTH,oil,FL,mrh-eq,0.000681007772236879,0.000298206862398384,0.00155078002305047
35-44,Male,OTH,sat_fat,CED,MJ,-0.189835369552946,-0.21024467738071,-0.208987212652871
35-44,Male,OTH,sat_fat,Food_price,USD,-0.00900855503244183,-0.00997706987334546,-0.00991739743069811
35-44,Male,OTH,sat_fat,FL,mrh-eq,-0.00517005593993316,-0.00572589157484851,-0.00569164525394041
45-54,Female,HIS,added_sugar,CED,MJ,-0.115510776423687,-0.11173407750076,-0.122778082728071
45-54,Female,HIS,added_sugar,Food_price,USD,-0.276249141609782,-0.267216998740701,-0.293629226746061
45-54,Female,HIS,added_sugar,FL,mrh-eq,-0.00548581204729548,-0.00530644990385003,-0.00583094933846687
45-54,Female,HIS,oil,CED,MJ,-0.00042387678575848,-0.000987998088099511,-0.00178383003429775
45-54,Female,HIS,oil,Food_price,USD,-0.000142408728561575,-0.000331935025164806,-0.000599308515326521
45-54,Female,HIS,oil,FL,mrh-eq,-2.08675352445008e-05,-4.86393348671453e-05,-8.78182938098364e-05
45-54,Female,HIS,sat_fat,CED,MJ,-0.204478583348948,-0.200723987587746,-0.200797202381538
45-54,Female,HIS,sat_fat,Food_price,USD,-0.00911588007210107,-0.0089484960648482,-0.00895176006085593
45-54,Female,HIS,sat_fat,FL,mrh-eq,-0.00544555768150871,-0.00534556741625202,-0.00534751723112362
45-54,Female,NHB,added_sugar,CED,MJ,-0.18326275373231,-0.176817242111834,-0.162990595317535
45-54,Female,NHB,added_sugar,Food_price,USD,-0.433136107221883,-0.417902330824391,-0.38522345938736
45-54,Female,NHB,added_sugar,FL,mrh-eq,-0.00776762568721982,-0.00749443148593863,-0.00690838650614756
45-54,Female,NHB,oil,CED,MJ,-0.0162163879505147,-0.0221905248547861,-0.0211684216432084
45-54,Female,NHB,oil,Food_price,USD,0,0,0
45-54,Female,NHB,oil,FL,mrh-eq,-0.000782909290257503,-0.00107133401824853,-0.00102198800467337
45-54,Female,NHB,sat_fat,CED,MJ,-0.225088855797014,-0.238071729577321,-0.230700898776964
45-54,Female,NHB,sat_fat,Food_price,USD,-0.0149582160012846,-0.0158209891920568,-0.0153311627240592
45-54,Female,NHB,sat_fat,FL,mrh-eq,-0.00585032903207881,-0.00618776947588845,-0.00599619275269093
45-54,Female,NHW,added_sugar,CED,MJ,-0.0881466971165499,-0.144343297602099,-0.0944537496497656
45-54,Female,NHW,added_sugar,Food_price,USD,-0.20653108026722,-0.338201863011123,-0.221308745404971
45-54,Female,NHW,added_sugar,FL,mrh-eq,-0.00389972700399643,-0.00638593927984072,-0.00417875938846438
45-54,Female,NHW,oil,CED,MJ,-0.00560196346510078,-0.000555738645333064,-0.00795220677099976
