"outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"GC","medBMI",13.3818511998055,0.571065518941663,13.4882489232286,12.801228593482,13.8720357412193,0.00319874031244888,0.000258386923688919,0.00309018355885421,0.00301623386672072,0.0034735199987325,0.309018355885421,0.301623386672072,0.34735199987325,0.00546470003004494,0.000233204039704425,0.00550814929828933,0.00522759319580762,0.00566487498627454
"GC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HHD","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HHD","medBMI",489.691192644052,80.5590662686315,480.336401644002,417.523847234178,569.810110403969,0.00959860582248618,0.00159798530464289,0.00936272274462609,0.00819322558536642,0.011204486675787,0.936272274462609,0.819322558536642,1.1204486675787,0.199973489108412,0.0328976256935948,0.196153305645321,0.170502761274035,0.232691372886417
"HHD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSTK","direct",652.01764067801,12.1999733071029,654.451487482632,639.56756621003,662.398945362062,0.0189559679412779,0.000437017217618066,0.0188941129129378,0.0185702207110823,0.0193942919455627,1.88941129129378,1.85702207110823,1.93942919455627,0.266262176092255,0.00498206066578007,0.267256077646513,0.261177982485303,0.270501553378087
"HSTK","medBMI",163.34304009002,11.6911404636053,156.783824302444,156.423246185362,175.838167414118,0.00474848626266163,0.000338100975906322,0.0045937831403145,0.00451933318008683,0.0051091369992315,0.45937831403145,0.451933318008683,0.51091369992315,0.0667038291458913,0.00477427036729058,0.0640252650088187,0.0638780169773,0.0718064208309944
"HSTK","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHD","direct",1870.33254522624,117.179910123914,1851.44551368836,1768.12845267628,1988.59061458338,0.0051398848432103,0.000326446290603956,0.0050945899656674,0.00485125826506215,0.00546701206726991,0.50945899656674,0.485125826506215,0.546701206726991,0.763781196150232,0.0478523523250746,0.756068364773511,0.722044466359321,0.812073832611357
"IHD","medBMI",1788.99970195309,11.6418928791787,1794.64097986378,1776.5633214652,1796.64099621688,0.00491622480884887,3.95065343809135e-05,0.00493358935671737,0.0048741390392241,0.00494355071278542,0.493358935671737,0.48741390392241,0.494355071278542,0.730567585832634,0.00475415930253003,0.732871294871672,0.725488984388704,0.733688034593382
"IHD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISTK","direct",652.015801611449,75.2058522864729,628.346392960228,593.334810519184,730.815790057251,0.0152586113006806,0.00181434757119086,0.0146457264424122,0.0138708616708495,0.0171673130600398,1.46457264424122,1.38708616708496,1.71673130600398,0.26626142507904,0.0307115523191155,0.256595630994485,0.242298072849445,0.298440702280506
"ISTK","medBMI",177.843950875162,36.3689268804167,166.421893585782,149.450343384437,215.946307061859,0.00416002307874453,0.000845392632929667,0.00387902207252724,0.00351031948889659,0.00504857752387718,0.387902207252724,0.351031948889659,0.504857752387718,0.0726255156465149,0.0148518521726654,0.0679611298391644,0.061030516913462,0.0881852423158157
"ISTK","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KC","medBMI",294.16022548942,4.46890311727781,293.501900787862,290.229246159687,298.650780815478,0.00453344932602655,4.32808543363465e-05,0.00453512632706417,0.00449164294413826,0.00457383025703285,0.453512632706417,0.449164294413826,0.457383025703285,0.120125188142387,0.00182495042237587,0.11985635037378,0.118519907786138,0.121958980601952
"KC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC","medBMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVC","medBMI",140.103331291597,11.0226710054675,139.753357111457,129.784492197056,150.719648439258,0.00389082477509316,0.000284514013790212,0.00388753035678808,0.00362195017977702,0.00416249962596861,0.388753035678808,0.362195017977702,0.416249962596861,0.0572135100956523,0.00450128981972459,0.05707059235698,0.052999641665342,0.0615488586038341
"LVC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLPC","direct",804.355958018403,31.2387250525909,793.560812054617,780.62725602283,837.260534083195,0.0134587157321112,0.000503904484597195,0.013234660961218,0.0131121437345224,0.0139957342849591,1.3234660961218,1.31121437345224,1.39957342849591,0.328472044885232,0.0127568494959756,0.324063668675407,0.318782037383876,0.341909172164939
"MLPC","medBMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
