"female","race","outcome","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,2,"DIAB",82.285140262766,17.2130074524997,77.1488928708354,68.67111793521,100.264972873463,0.0120688695332982,0.00245895591359403,0.0113102225769898,0.0101402143563732,0.0146423746230853,1.13102225769898,1.01402143563732,1.46423746230853,0.647674748604993,0.135485340839581,0.607246820455164,0.540517387502548,0.789195848634793
0,2,"ECA",1.27317978713994,0.284953902991004,1.39656539484851,0.969788517103768,1.47169329062383,0.00571434205961016,0.000923054804367712,0.00623591030586377,0.00472793730008654,0.00625741380981822,0.623591030586377,0.472793730008654,0.625741380981822,0.0100213282244103,0.00224290129292302,0.0109925089527767,0.00763330453116345,0.0115838482985458
0,2,"ENDO",0.743770011769126,0.272910497894149,0.659951571418162,0.529467019986086,1.02931867785049,0.00715103860894989,0.00225224815612255,0.00665045694796854,0.00526416002804444,0.00946341160168947,0.665045694796854,0.526416002804444,0.946341160168947,0.00585428977643099,0.00214810642056156,0.00519454626612749,0.00416748902619657,0.00810187251042339
0,2,"GC",0.497450312745675,0.0799600200437071,0.500752808582186,0.420133340722682,0.571960163307632,0.00326683557847317,0.000572231855625896,0.00296989383671787,0.00290740226908401,0.00387866936835432,0.296989383671787,0.290740226908401,0.387866936835432,0.00391548225137825,0.000629373489731927,0.00394147653362473,0.00330691246273865,0.00450195690010833
0,2,"HHD",51.3025226652348,15.702326373839,45.3345898481384,39.7528930657489,67.9248951592527,0.00948365838542477,0.0028980131616939,0.00839985610988902,0.00733955698690066,0.0125489917181543,0.839985610988902,0.733955698690065,1.25489917181543,0.403807399050437,0.123594615676819,0.356833189920317,0.312899084092958,0.534643791768517
0,2,"HSTK",63.4471913313202,10.4923518734969,68.9483199446052,52.2282289643702,69.9901943769778,0.0287971121688967,0.00497265358399048,0.0314795507423191,0.023480242618665,0.0318339089317193,3.14795507423191,2.3480242618665,3.18339089317193,0.499399327314513,0.0825863739217231,0.542699272848729,0.411093727938739,0.550899972986203
0,2,"IHD",226.773934168686,34.8419235580072,239.419009801462,189.977370115474,252.822183934038,0.0100184990405985,0.00154951704428216,0.0107065974694802,0.00836722724475385,0.0110848871718938,1.07065974694802,0.836722724475385,1.10848871718938,1.78496081229055,0.274244341193132,1.88449149493138,1.49533129599409,1.98998924834231
0,2,"ISTK",48.1914123390963,5.24463131087818,48.2117741479685,43.2003869876628,53.1651301529883,0.0204927007476666,0.00243555120920262,0.0201881719308608,0.018321956675122,0.0229222943144962,2.01881719308608,1.8321956675122,2.29222943144962,0.379319531715829,0.0412810290527749,0.379479801594453,0.340034661088544,0.418468172946284
0,2,"KC",18.7208051895354,0.852324891462111,19.1939162770829,17.8097186213997,19.2297473332557,0.0045891617336763,0.000140537344176176,0.00460542188971522,0.0044494125936375,0.004715089741082,0.460542188971522,0.44494125936375,0.4715089741082,0.147353370925734,0.0067087363288763,0.151077276648092,0.140182115434276,0.151359306553186
0,2,"LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
