"female","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"MMC","medBMI",59.9205001260091,5.7377060700805,60.6649832600988,54.1877966501295,65.0203929379125,0.00420250535923201,0.000441344989123777,0.00428915083271658,0.00375250767249304,0.0045788543935091,0.428915083271658,0.375250767249304,0.45788543935091,0.0508373608944493,0.00486794725640723,0.0514689904317188,0.0459736579064689,0.0551641787757508
0,"MMC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OC","direct",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"OC","medBMI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"OC","medSBP",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"OSTK","direct",1605.7242863166,217.378912456719,1654.65612241179,1382.38021735524,1787.47629459705,0.054817177412912,0.00699651587900577,0.0559535302719409,0.0477536163914934,0.0609148385041562,5.59535302719409,4.77536163914934,6.09148385041562,1.3623181526989,0.184427202713022,1.40383258274485,1.1728300307115,1.51651900914726
0,"OSTK","medBMI",374.371992635886,17.3791841680033,364.796877917958,363.931774142859,392.951058639153,0.012790177956601,0.000589851970741327,0.0126186428484818,0.0123207833579417,0.0134053773971617,1.26186428484818,1.23207833579417,1.34053773971617,0.317622250454876,0.0147447343687371,0.309498593918341,0.308764628201544,0.333384980764263
0,"OSTK","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OTH","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OTH","medBMI",225.687176438803,3.95668922808089,224.909468355006,222.31370521688,229.721699531954,0.0131574541123295,0.000257146220555377,0.013035653754063,0.0129864292083297,0.0134320093208558,1.3035653754063,1.29864292083297,1.34320093208558,0.191476045989953,0.00335690853400968,0.190816227957003,0.188613947482509,0.194898989825404
0,"OTH","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PC","medBMI",150.472330167743,11.36981572955,151.135687735472,139.402874928381,160.977931474534,0.00535574873521077,0.000422616969558726,0.00541471040724675,0.00493214521675883,0.00572923483243211,0.541471040724675,0.493214521675883,0.572923483243211,0.12766275543895,0.00964630509309836,0.128225556950984,0.118271280238894,0.136575849353778
0,"PC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PVD","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PVD","medBMI",47.906769581732,4.58259580813544,47.9471728797952,43.5362590686563,52.242937291454,0.0135097602281252,0.00125654111983757,0.0135230335060107,0.0123104549721139,0.0146977831979339,1.35230335060107,1.23104549721139,1.46977831979339,0.0406447497833317,0.00388793612272356,0.0406790284866243,0.0369367496868877,0.044323612981977
0,"PVD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"RHD","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"RHD","medBMI",20.2205222332274,1.74145882192528,19.6871954543937,18.8520484895507,22.0423237389126,0.0162534508898228,0.00131288431172999,0.0165710377272255,0.0148989120953918,0.0173380408724617,1.65710377272255,1.48989120953917,1.73380408724617,0.0171553639252524,0.00147747716435715,0.0167028822891975,0.0159943323344685,0.0187010049066829
0,"RHD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"SCC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"SCC","medBMI",77.4276287067012,14.1245278967392,82.1708311289321,62.5734460470187,88.2500893074875,0.0123655027196947,0.00236282158317208,0.0131062623592679,0.00989031591359226,0.0142110438321599,1.31062623592679,0.989031591359226,1.42110438321599,0.065690645029437,0.0119834400687615,0.0697148419708392,0.0530881560135856,0.0748725666450964
0,"SCC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"SCNC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
