"","age","female","race","outcome","pathway","V1","V2","V3"
"251",65,1,1,"CM","direct",0,0,0
"252",75,1,1,"CM","direct",0,0,0
"253",25,0,2,"CM","direct",0,0,0
"254",35,0,2,"CM","direct",0,0,0
"255",45,0,2,"CM","direct",0,0,0
"256",55,0,2,"CM","direct",0,0,0
"257",65,0,2,"CM","direct",0,0,0
"258",75,0,2,"CM","direct",0,0,0
"259",25,1,2,"CM","direct",0,0,0
"260",35,1,2,"CM","direct",0,0,0
"261",45,1,2,"CM","direct",0,0,0
"262",55,1,2,"CM","direct",0,0,0
"263",65,1,2,"CM","direct",0,0,0
"264",75,1,2,"CM","direct",0,0,0
"265",25,0,3,"CM","direct",0,0,0
"266",35,0,3,"CM","direct",0,0,0
"267",45,0,3,"CM","direct",0,0,0
"268",55,0,3,"CM","direct",0,0,0
"269",65,0,3,"CM","direct",0,0,0
"270",75,0,3,"CM","direct",0,0,0
"271",25,1,3,"CM","direct",0,0,0
"272",35,1,3,"CM","direct",0,0,0
"273",45,1,3,"CM","direct",0,0,0
"274",55,1,3,"CM","direct",0,0,0
"275",65,1,3,"CM","direct",0,0,0
"276",75,1,3,"CM","direct",0,0,0
"277",25,0,4,"CM","direct",0,0,0
"278",35,0,4,"CM","direct",0,0,0
"279",45,0,4,"CM","direct",0,0,0
"280",55,0,4,"CM","direct",0,0,0
"281",65,0,4,"CM","direct",0,0,0
"282",75,0,4,"CM","direct",0,0,0
"283",25,1,4,"CM","direct",0,0,0
"284",35,1,4,"CM","direct",0,0,0
"285",45,1,4,"CM","direct",0,0,0
"286",55,1,4,"CM","direct",0,0,0
"287",65,1,4,"CM","direct",0,0,0
"288",75,1,4,"CM","direct",0,0,0
"289",25,0,1,"DIAB","direct",0,0,0
"290",35,0,1,"DIAB","direct",0,0,0
"291",45,0,1,"DIAB","direct",0,0,0
"292",55,0,1,"DIAB","direct",0,0,0
"293",65,0,1,"DIAB","direct",0,0,0
"294",75,0,1,"DIAB","direct",0,0,0
"295",25,1,1,"DIAB","direct",0,0,0
"296",35,1,1,"DIAB","direct",0,0,0
"297",45,1,1,"DIAB","direct",0,0,0
"298",55,1,1,"DIAB","direct",0,0,0
"299",65,1,1,"DIAB","direct",0,0,0
"300",75,1,1,"DIAB","direct",0,0,0
"301",25,0,2,"DIAB","direct",0,0,0
"302",35,0,2,"DIAB","direct",0,0,0
"303",45,0,2,"DIAB","direct",0,0,0
"304",55,0,2,"DIAB","direct",0,0,0
"305",65,0,2,"DIAB","direct",0,0,0
"306",75,0,2,"DIAB","direct",0,0,0
"307",25,1,2,"DIAB","direct",0,0,0
"308",35,1,2,"DIAB","direct",0,0,0
"309",45,1,2,"DIAB","direct",0,0,0
"310",55,1,2,"DIAB","direct",0,0,0
"311",65,1,2,"DIAB","direct",0,0,0
"312",75,1,2,"DIAB","direct",0,0,0
"313",25,0,3,"DIAB","direct",0,0,0
"314",35,0,3,"DIAB","direct",0,0,0
"315",45,0,3,"DIAB","direct",0,0,0
"316",55,0,3,"DIAB","direct",0,0,0
"317",65,0,3,"DIAB","direct",0,0,0
"318",75,0,3,"DIAB","direct",0,0,0
"319",25,1,3,"DIAB","direct",0,0,0
"320",35,1,3,"DIAB","direct",0,0,0
"321",45,1,3,"DIAB","direct",0,0,0
"322",55,1,3,"DIAB","direct",0,0,0
"323",65,1,3,"DIAB","direct",0,0,0
"324",75,1,3,"DIAB","direct",0,0,0
"325",25,0,4,"DIAB","direct",0,0,0
"326",35,0,4,"DIAB","direct",0,0,0
"327",45,0,4,"DIAB","direct",0,0,0
"328",55,0,4,"DIAB","direct",0,0,0
"329",65,0,4,"DIAB","direct",0,0,0
"330",75,0,4,"DIAB","direct",0,0,0
"331",25,1,4,"DIAB","direct",0,0,0
"332",35,1,4,"DIAB","direct",0,0,0
"333",45,1,4,"DIAB","direct",0,0,0
