"age","race","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
45,1,"LVC","medBMI",15.5620607316626,0.688327807847079,15.4005096376652,14.9904586355601,16.2709812576629,0.0129653977932695,0.00101246247154412,0.0124318435478005,0.0123363300550204,0.0140479866401673,1.24318435478005,1.23363300550204,1.40479866401673,0.065985430733515,0.0029186113375226,0.0653004302887343,0.0635617536145353,0.0689913582305581
45,1,"LVC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"MLPC","direct",197.85815232423,34.1165759405122,214.006582790942,161.432481298233,220.557657453521,0.0380703553449347,0.00652433952676184,0.04086823552738,0.0311264274014005,0.0426360851333904,4.086823552738,3.11264274014005,4.26360851333904,0.838947722308296,0.144659309419547,0.907419447126091,0.684497509457153,0.935196969064313
45,1,"MLPC","medBMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"MLPC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"MMC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"MMC","medBMI",5.09201097901672,1.70582570010114,5.48951649893976,3.33587916618953,6.51026309990933,0.00444625864804107,0.00127965082975739,0.0048040099150336,0.00311471493849532,0.00547371378064318,0.48040099150336,0.311471493849532,0.547371378064318,0.0215908769117307,0.00723295233956127,0.023276358892771,0.0141446192410829,0.0276044748984944
45,1,"MMC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"OC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"OC","medBMI",4.58339678908652,1.43736472820856,4.33302709615078,3.33993325879971,6.0396745583687,0.00253042996273996,0.000567109282777752,0.00239987851429024,0.00205797566169514,0.00311385299496704,0.239987851429024,0.205797566169514,0.311385299496704,0.0194342777968437,0.00609463825822445,0.0183726734042217,0.0141618091911627,0.0256091101362533
45,1,"OC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"OSTK","direct",79.6318162142104,24.7523789103438,67.0802356606642,63.8402450281463,106.092230870789,0.0996191360174933,0.0325091260501635,0.0882614673389846,0.0750100031715496,0.133882287240169,8.82614673389846,7.50100031715496,13.3882287240169,0.337650635323372,0.104953734099951,0.284430084170589,0.270692046442445,0.449846692684164
