Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,FL,mrh-eq,-41708.92410331356,1698.9980013381842,-42246.001526439,-43033.053140738826,-39928.27925623169
oil,Female,HIS,35-44,11,4706043,g/day,CED,MJ,-18542.692719852734,49661.80625213552,-43529.314591072696,-50387.91666068654,34541.15981151805
oil,Female,HIS,35-44,11,4706043,g/day,Food_price,USD,-13517.224064601347,31152.790480518684,-27189.947372868402,-35080.31292391433,19667.67960673864
oil,Female,HIS,35-44,11,4706043,g/day,FL,mrh-eq,-943.5899411287473,2527.161591133342,-2215.0948631311353,-2564.1114822850277,1757.710783729564
sat_fat,Female,HIS,35-44,11,4706043,g/day,CED,MJ,-2382219.1827221587,115368.46013242124,-2391846.7874683132,-2487440.890276315,-2268814.0111337714
sat_fat,Female,HIS,35-44,11,4706043,g/day,Food_price,USD,-260777.7349452258,16079.61788960226,-259987.6574073922,-276375.31874245947,-245851.7170551507
sat_fat,Female,HIS,35-44,11,4706043,g/day,FL,mrh-eq,-63753.5053850379,3087.5176380331623,-64011.1615887494,-66569.47326399313,-60718.52973292789
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,CED,MJ,-593003.8823051247,33884.723928324565,-599974.419258044,-621716.9346725234,-558365.8735277443
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,Food_price,USD,-867219.706605035,53786.715232562885,-868641.636835279,-917699.3722507876,-815531.400263575
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,FL,mrh-eq,-30009.843158862765,1714.7868351511531,-30362.59754535522,-31462.909865286856,-28256.93522392008
oil,Female,OTH,35-44,12,2705155,g/day,CED,MJ,-31538.752049665018,10833.903303988123,-34642.84712683547,-40189.84678006412,-20249.17650367103
oil,Female,OTH,35-44,12,2705155,g/day,Food_price,USD,-28782.725487293552,9581.34749296331,-32253.6223178923,-35950.34307224353,-18664.845596334635
oil,Female,OTH,35-44,12,2705155,g/day,FL,mrh-eq,-1799.1305569946162,618.0208543139532,-1976.203901442727,-2292.6329269173793,-1155.1158442909584
sat_fat,Female,OTH,35-44,12,2705155,g/day,CED,MJ,-1517491.3116469593,163695.55904054336,-1601767.4704109682,-1620872.0692312673,-1342475.8191132438
sat_fat,Female,OTH,35-44,12,2705155,g/day,Food_price,USD,-190383.7014724863,18182.402672738262,-194411.2062645704,-205624.4996341606,-171719.5242375405
sat_fat,Female,OTH,35-44,12,2705155,g/day,FL,mrh-eq,-40800.87080754658,4401.291331898067,-43066.8084373012,-43580.47481701261,-36095.2198127891
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,CED,MJ,-2319038.0012111003,94795.75361490967,-2289702.62369704,-2418267.178465672,-2244743.8948434796
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,Food_price,USD,-4432934.325540774,125035.83483016952,-4412278.66091076,-4559275.118863164,-4324150.847153894
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,FL,mrh-eq,-99543.17051882963,4069.0449495101534,-98283.9688651303,-103802.5172422282,-96354.14520107549
oil,Male,NHW,35-44,13,10698668,g/day,CED,MJ,131392.20789332862,84109.95016020548,100086.9318078094,69057.209975093,220336.69048425567
oil,Male,NHW,35-44,13,10698668,g/day,Food_price,USD,60637.94205264386,74703.73513464988,71005.109475978,-14222.242228143778,126686.03402359752
oil,Male,NHW,35-44,13,10698668,g/day,FL,mrh-eq,6262.499807331514,4008.9024693198226,4770.407630806199,3291.4490980696205,10501.828866639926
sat_fat,Male,NHW,35-44,13,10698668,g/day,CED,MJ,-6689265.716895686,253478.64459252817,-6602907.46916678,-6956052.624056367,-6495883.320304576
sat_fat,Male,NHW,35-44,13,10698668,g/day,Food_price,USD,-695941.208002543,44335.94608600337,-672528.079287146,-743348.1224747238,-668435.4529384495
sat_fat,Male,NHW,35-44,13,10698668,g/day,FL,mrh-eq,-185898.86971339586,7044.329754641595,-183498.9201041758,-193313.04439182632,-180524.65220280248
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,CED,MJ,-615360.3447247397,34344.55842302604,-630772.988645875,-638872.4279631837,-578747.5141533307
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,Food_price,USD,-1057331.5189843264,71665.21908013421,-1059555.1049701888,-1124443.8701893163,-988329.1196913532
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,FL,mrh-eq,-23531.905693379867,1313.3652774667435,-24121.298374183898,-24431.027858408983,-22131.799749667323
oil,Male,NHB,35-44,14,2373836,g/day,CED,MJ,73292.55227611821,4926.729136328202,71701.0454363109,69475.43369852773,78462.45166754488
oil,Male,NHB,35-44,14,2373836,g/day,Food_price,USD,41669.047146277364,13824.156549023832,40741.3027619685,28952.589130411794,55174.08788880548
oil,Male,NHB,35-44,14,2373836,g/day,FL,mrh-eq,3732.3476290375033,250.88859972579598,3651.30178473707,3537.9648025375786,3995.6194231927966
sat_fat,Male,NHB,35-44,14,2373836,g/day,CED,MJ,-1238939.3791095687,54665.89543732146,-1255534.995757325,-1281991.8687408587,-1181780.6153276858
sat_fat,Male,NHB,35-44,14,2373836,g/day,Food_price,USD,-120204.22751879803,4423.852316951708,-122084.9359708796,-123312.38060778793,-115497.47224553878
sat_fat,Male,NHB,35-44,14,2373836,g/day,FL,mrh-eq,-33913.23255145503,1496.3583011880771,-34367.5009492475,-35091.6994864833,-32348.637478303168
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,CED,MJ,-903777.303366647,79658.29852163407,-868925.499426387,-988622.1598830916,-848556.4801994234
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,Food_price,USD,-1489558.876941846,105897.3778485071,-1439933.6946898908,-1602594.9582470849,-1418704.200550769
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,FL,mrh-eq,-38152.5534273187,3362.739337395262,-36681.3001584923,-41734.24098377609,-35821.43114936374
oil,Male,HIS,35-44,15,4477083,g/day,CED,MJ,185361.15194885503,73762.31408727732,221993.6920245034,106530.44119245354,233054.2036409554
oil,Male,HIS,35-44,15,4477083,g/day,Food_price,USD,147104.08908113916,46133.8080033892,170211.7605678948,97794.22857069851,176772.42882783752
oil,Male,HIS,35-44,15,4477083,g/day,FL,mrh-eq,9464.773161500543,3766.396374662518,11335.27665427804,5439.5780889371745,11900.040265203039
