age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
55-64,Female,NHB,oil,CED,MJ,147390.214785998,147390.214785998,147390.214785998
55-64,Female,NHB,oil,Food_price,USD,115861.533491549,115861.533491549,115861.533491549
55-64,Female,NHB,oil,FL,mrh-eq,7323.96493210556,7323.96493210556,7323.96493210556
55-64,Female,NHB,sat_fat,CED,MJ,643505.871788608,643505.871788608,643505.871788608
55-64,Female,NHB,sat_fat,Food_price,USD,78153.3870768481,78153.3870768481,78153.3870768481
55-64,Female,NHB,sat_fat,FL,mrh-eq,17391.7937777766,17391.7937777766,17391.7937777766
55-64,Female,HIS,added_sugar,CED,MJ,274052.685280157,274052.685280157,274052.685280157
55-64,Female,HIS,added_sugar,Food_price,USD,367284.51539653,367284.51539653,367284.51539653
55-64,Female,HIS,added_sugar,FL,mrh-eq,13117.7127766446,13117.7127766446,13117.7127766446
55-64,Female,HIS,oil,CED,MJ,144364.04090063,144364.04090063,144364.04090063
55-64,Female,HIS,oil,Food_price,USD,122189.044433313,122189.044433313,122189.044433313
55-64,Female,HIS,oil,FL,mrh-eq,7752.12958324466,7752.12958324466,7752.12958324466
55-64,Female,HIS,sat_fat,CED,MJ,608120.926568094,608120.926568094,608120.926568094
55-64,Female,HIS,sat_fat,Food_price,USD,61565.6795018407,61565.6795018407,61565.6795018407
55-64,Female,HIS,sat_fat,FL,mrh-eq,16286.9667826435,16286.9667826435,16286.9667826435
55-64,Female,OTH,added_sugar,CED,MJ,253460.895597855,253460.895597855,253460.895597855
55-64,Female,OTH,added_sugar,Food_price,USD,507285.786728979,507285.786728979,507285.786728979
55-64,Female,OTH,added_sugar,FL,mrh-eq,12089.8266789029,12089.8266789029,12089.8266789029
55-64,Female,OTH,oil,CED,MJ,130025.096008272,130025.096008272,130025.096008272
55-64,Female,OTH,oil,Food_price,USD,108178.028394519,108178.028394519,108178.028394519
55-64,Female,OTH,oil,FL,mrh-eq,6894.30281857118,6894.30281857118,6894.30281857118
55-64,Female,OTH,sat_fat,CED,MJ,497806.133060092,497806.133060092,497806.133060092
55-64,Female,OTH,sat_fat,Food_price,USD,69380.6365986516,69380.6365986516,69380.6365986516
55-64,Female,OTH,sat_fat,FL,mrh-eq,12939.5288679174,12939.5288679174,12939.5288679174
55-64,Male,NHW,added_sugar,CED,MJ,1501904.38699572,1501904.38699572,1501904.38699572
55-64,Male,NHW,added_sugar,Food_price,USD,2258021.88981953,2258021.88981953,2258021.88981953
55-64,Male,NHW,added_sugar,FL,mrh-eq,68379.6770691956,68379.6770691956,68379.6770691956
55-64,Male,NHW,oil,CED,MJ,758972.017706585,758972.017706585,758972.017706585
55-64,Male,NHW,oil,Food_price,USD,627089.137129929,627089.137129929,627089.137129929
55-64,Male,NHW,oil,FL,mrh-eq,39871.3710355916,39871.3710355916,39871.3710355916
55-64,Male,NHW,sat_fat,CED,MJ,3738993.83845594,3738993.83845594,3738993.83845594
55-64,Male,NHW,sat_fat,Food_price,USD,404559.976651984,404559.976651984,404559.976651984
55-64,Male,NHW,sat_fat,FL,mrh-eq,105062.207508954,105062.207508954,105062.207508954
55-64,Male,NHB,added_sugar,CED,MJ,198703.733401652,198703.733401652,198703.733401652
55-64,Male,NHB,added_sugar,Food_price,USD,264663.67685246,264663.67685246,264663.67685246
55-64,Male,NHB,added_sugar,FL,mrh-eq,8172.93519084242,8172.93519084242,8172.93519084242
55-64,Male,NHB,oil,CED,MJ,99812.9374662468,99812.9374662468,99812.9374662468
55-64,Male,NHB,oil,Food_price,USD,25250.8099351445,25250.8099351445,25250.8099351445
55-64,Male,NHB,oil,FL,mrh-eq,4817.76087332432,4817.76087332432,4817.76087332432
55-64,Male,NHB,sat_fat,CED,MJ,442619.869218046,442619.869218046,442619.869218046
55-64,Male,NHB,sat_fat,Food_price,USD,46098.8151842397,46098.8151842397,46098.8151842397
55-64,Male,NHB,sat_fat,FL,mrh-eq,12136.6920472681,12136.6920472681,12136.6920472681
55-64,Male,HIS,added_sugar,CED,MJ,270893.306761404,270893.306761404,270893.306761404
55-64,Male,HIS,added_sugar,Food_price,USD,312001.777444016,312001.777444016,312001.777444016
55-64,Male,HIS,added_sugar,FL,mrh-eq,12891.8693683786,12891.8693683786,12891.8693683786
55-64,Male,HIS,oil,CED,MJ,136543.32666515,136543.32666515,136543.32666515
55-64,Male,HIS,oil,Food_price,USD,118877.998555541,118877.998555541,118877.998555541
55-64,Male,HIS,oil,FL,mrh-eq,6663.65412500816,6663.65412500816,6663.65412500816
55-64,Male,HIS,sat_fat,CED,MJ,647907.009708591,647907.009708591,647907.009708591
55-64,Male,HIS,sat_fat,Food_price,USD,74292.8602721784,74292.8602721784,74292.8602721784
55-64,Male,HIS,sat_fat,FL,mrh-eq,17950.5069287971,17950.5069287971,17950.5069287971
55-64,Male,OTH,added_sugar,CED,MJ,199019.566369712,199019.566369712,199019.566369712
55-64,Male,OTH,added_sugar,Food_price,USD,294205.869773426,294205.869773426,294205.869773426
55-64,Male,OTH,added_sugar,FL,mrh-eq,11695.9330272936,11695.9330272936,11695.9330272936
55-64,Male,OTH,oil,CED,MJ,109432.06155035,109432.06155035,109432.06155035
55-64,Male,OTH,oil,Food_price,USD,101957.509972419,101957.509972419,101957.509972419
55-64,Male,OTH,oil,FL,mrh-eq,5306.43642001582,5306.43642001582,5306.43642001582
55-64,Male,OTH,sat_fat,CED,MJ,513040.749730009,513040.749730009,513040.749730009
55-64,Male,OTH,sat_fat,Food_price,USD,63487.0522264236,63487.0522264236,63487.0522264236
55-64,Male,OTH,sat_fat,FL,mrh-eq,14340.7456131849,14340.7456131849,14340.7456131849
65-74,Female,NHW,added_sugar,CED,MJ,1077515.8443709,1077515.8443709,1077515.8443709
65-74,Female,NHW,added_sugar,Food_price,USD,1854855.96994003,1854855.96994003,1854855.96994003
65-74,Female,NHW,added_sugar,FL,mrh-eq,52357.4302333778,52357.4302333778,52357.4302333778
65-74,Female,NHW,oil,CED,MJ,570594.170623043,570594.170623043,570594.170623043
65-74,Female,NHW,oil,Food_price,USD,582924.720938101,582924.720938101,582924.720938101
