"outcome","pathway","riskfactor","V1","V2","V3"
"OSTK","medBMI","leg_tot",286.216868285247,294.001002645203,290.525360740574
"OSTK","medSBP","leg_tot",0,0,0
"OTH","direct","leg_tot",0,0,0
"OTH","medBMI","leg_tot",163.520277229495,231.576214922512,169.339907040855
"OTH","medSBP","leg_tot",0,0,0
"PC","direct","leg_tot",0,0,0
"PC","medBMI","leg_tot",85.7250931671416,99.8101736808098,82.8631437683617
"PC","medSBP","leg_tot",0,0,0
"PVD","direct","leg_tot",0,0,0
"PVD","medBMI","leg_tot",34.2082113728856,33.9130153101789,34.4608040448486
"PVD","medSBP","leg_tot",0,0,0
"RHD","direct","leg_tot",0,0,0
"RHD","medBMI","leg_tot",16.5003459937687,16.7245212354957,15.3291728292699
"RHD","medSBP","leg_tot",0,0,0
"SCC","direct","leg_tot",0,0,0
"SCC","medBMI","leg_tot",35.2197154251948,27.2606325401446,35.4478791952149
"SCC","medSBP","leg_tot",0,0,0
"SCNC","direct","leg_tot",0,0,0
"SCNC","medBMI","leg_tot",0,0,0
"SCNC","medSBP","leg_tot",0,0,0
"TC","direct","leg_tot",0,0,0
"TC","medBMI","leg_tot",49.5010454114139,46.3160893546442,59.16265885317
"TC","medSBP","leg_tot",0,0,0
"UC","direct","leg_tot",0,0,0
"UC","medBMI","leg_tot",501.624072248848,423.377442850779,497.302053419971
"UC","medSBP","leg_tot",0,0,0
