"age","race","pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","HSTK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","IHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","ISTK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","OSTK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct","Cancer","dairy_tot",20.636490316599,1.77928118866709,21.6122868162402,18.734273538294,21.7092800702089,0.0157169191672324,0.000825419061342632,0.0161287534143837,0.0148347225775131,0.0162490566468732,1.61287534143837,1.48347225775131,1.62490566468732,0.234959551012017,0.0202582465719513,0.246069614008068,0.213301604660619,0.247173943816773
25,2,"direct","Cancer","leg_tot",1.40684376302327,0.297112616827746,1.56889977164642,1.08918729636994,1.58675262234694,0.0010773096511015,0.00025191925220688,0.00118002668386154,0.000809748521556357,0.00125756130280061,0.118002668386154,0.0809748521556357,0.125756130280061,0.0160178099004619,0.00338281587512493,0.0178629205002167,0.0124010892451624,0.0180661865459699
25,2,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct","HSTK","leg_tot",3.34552810210091,0.512657343848555,3.54967323769495,2.80161883364046,3.71591400530642,0.0437850552218014,0.00612631118219069,0.0456751452540734,0.0373733577804088,0.0485901761357628,4.56751452540734,3.73733577804088,4.85901761357628,0.0380909625962631,0.00583692951106046,0.0404152846425309,0.0318982100715788,0.0423080413816197
25,2,"direct","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct","IHD","leg_tot",3.93776981162181,1.10756603963539,3.69899931973594,3.00555994888319,5.07293459246342,0.0147631278942266,0.00315368801023296,0.0156865797123304,0.0114725884953473,0.0172687332477176,1.56865797123304,1.14725884953473,1.72687332477176,0.044834010664262,0.012610342911826,0.0421154569418154,0.0342202092165486,0.0577585827760549
25,2,"direct","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct","ISTK","leg_tot",1.558730903275,0.360647980252216,1.71324269418204,1.17490337764128,1.81122340663772,0.0440246304710296,0.0163677351622819,0.0496569774832536,0.026788056276881,0.0564737097047877,4.96569774832536,2.6788056276881,5.64737097047877,0.0177471414743168,0.00410620634678819,0.0195063563631189,0.0133770212791976,0.0206219290139541
25,2,"direct","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct","OSTK","leg_tot",1.04725490800564,0.112222089019121,1.01569868706743,0.957264787235168,1.16406781657358,0.0457273766492146,0.0114010047198854,0.0395297300325751,0.0388057368271124,0.0579170160954604,3.95297300325751,3.88057368271124,5.79170160954604,0.0119236623672493,0.0012777197694491,0.0115643747466546,0.0108990676785517,0.0132536515334524
25,2,"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medBMI","Cancer","leg_tot",2.54997714248153,0.786456556777359,2.19355749290256,2.01427137274064,3.38863961436455,0.00195998042809342,0.000680590436144165,0.00162930462634031,0.00151397939842877,0.00268705588924823,0.162930462634031,0.151397939842877,0.268705588924823,0.0290331095693364,0.00895430747360336,0.0249750454531928,0.022933759088619,0.0385818145487759
25,2,"medBMI","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medBMI","DIAB","leg_tot",6.49805579552646,0.629397923420172,6.66413542638608,5.84536538215778,7.00957852266447,0.0248589848523423,0.00290046298269671,0.0255392985077157,0.0218718573170996,0.0272678457805175,2.55392985077157,2.18718573170996,2.72678457805175,0.073984492941606,0.0071660951656954,0.0758754150364173,0.0665531979819392,0.0798085041206831
25,2,"medBMI","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medBMI","HHD","leg_tot",3.0621316335857,1.67752758498967,2.28952293658447,1.92909336164196,4.85188729798049,0.0136194284616981,0.0085353703596713,0.0099836747623252,0.00762791277013203,0.0227013347977311,0.99836747623252,0.762791277013203,2.27013347977311,0.0348643137824788,0.0190997171579322,0.0260676729888952,0.0219639533252939,0.0552418189142099
25,2,"medBMI","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
