"female","outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"ISTK","medBMI","leg_tot",74.0588313239999,12.9948085600564,79.7691401727306,60.2157589489415,83.0481411776373,0.00432462939936122,0.000750978387934413,0.0046372699337251,0.00352630915297368,0.00485720519153948,0.46372699337251,0.352630915297368,0.485720519153948,0.0628325118702592,0.0110249709387041,0.0676772149543658,0.0510878624641479,0.0704591636548799
0,"ISTK","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ISTK","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"KC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"KC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"KC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"KC","medBMI","leg_tot",196.552024988711,7.27462254978009,199.859498997287,188.793725101331,201.498971968803,0.00475370767418203,0.000223981545797725,0.00479888918489373,0.00452499508531794,0.00494401597894118,0.479888918489373,0.452499508531794,0.494401597894118,0.166757390340084,0.00617188793745639,0.169563495921135,0.160175144022501,0.170954446913773
0,"KC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"KC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LC","medBMI","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LVC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LVC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LVC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LVC","medBMI","leg_tot",99.8244205374151,7.64005158414384,98.7367863806731,93.0839872609673,107.489342847094,0.00389084778297433,0.000297651548268624,0.00386070592876486,0.00362197859234313,0.00418533754968357,0.386070592876486,0.362197859234313,0.418533754968357,0.0846923854485167,0.00648192286143388,0.0837696219530327,0.0789737108990865,0.0911954089691082
0,"LVC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LVC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MLPC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MLPC","direct","leg_tot",547.173271085605,77.2341747592145,514.342712799454,492.906378128738,629.346138585699,0.0126230051308827,0.00172280190699259,0.011886308632174,0.0114158027793941,0.0144563995062738,1.1886308632174,1.14158027793941,1.44563995062738,0.464229186930652,0.0655265160898561,0.436375298253998,0.418188422650196,0.533945756586265
0,"MLPC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MLPC","medBMI","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MLPC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MLPC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MMC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MMC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MMC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MMC","medBMI","leg_tot",19.1527129787069,2.77160461349167,19.8840380010702,16.2785426533602,21.4052570350447,0.00134378341305451,0.000207085195555389,0.00140584623232153,0.00112741756164226,0.0015073958680898,0.140584623232153,0.112741756164226,0.15073958680898,0.0162494201443371,0.00235146675505863,0.0168698861620579,0.0138109352552842,0.0181605089183273
0,"MMC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MMC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OC","direct","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"OC","direct","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"OC","medBMI","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"OC","medBMI","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"OC","medSBP","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"OC","medSBP","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"OSTK","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OSTK","direct","leg_tot",548.069480471592,76.0854053113984,551.350860063572,474.444192470279,618.905595819723,0.0187121316443919,0.00247528113564682,0.0186443736684463,0.0163900725694956,0.0210917849988419,1.86443736684463,1.63900725694956,2.10917849988419,0.464989543067477,0.0645518845884444,0.467773509793361,0.402524855202566,0.525087859215387
0,"OSTK","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OSTK","medBMI","leg_tot",122.026961430988,8.3381082035878,122.954599237044,113.74836410903,129.517066617799,0.00417013765494926,0.000307070526788986,0.00425310705290466,0.00385125751202239,0.00441849380961406,0.425310705290466,0.385125751202239,0.441849380961406,0.103529320751238,0.00707416351718281,0.104316341183755,0.09650564706909,0.109884027065747
0,"OSTK","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OSTK","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OTH","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OTH","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OTH","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OTH","medBMI","leg_tot",75.5711583261459,3.18002161789154,76.2488932281198,72.3140033211538,78.2522386644603,0.00440669063462015,0.000218365440007397,0.00447370243565745,0.00417822370666741,0.00457819753169119,0.447370243565745,0.417822370666741,0.457819753169119,0.0641155905067331,0.002697973252909,0.0646905899431523,0.0613521762473439,0.0663902552451661
0,"OTH","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OTH","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
