"age","female","race","disease_type3","riskfactor","V1","V2","V3"
65,1,1,"Other_CVD","leg_tot",29.1624323568427,29.6831034955095,33.8228799755839
65,1,2,"Other_CVD","leg_tot",6.24588444220844,5.6991392307479,3.22507307801098
65,1,3,"Other_CVD","leg_tot",0.391040787699482,0.678397582894773,0.328158392275354
65,1,4,"Other_CVD","leg_tot",1.32783292856398,0.915923243770194,1.27826544542794
75,1,1,"Other_CVD","leg_tot",140.420240273899,196.19302861488,129.439515455917
75,1,2,"Other_CVD","leg_tot",0,3.53048792696738,17.9397418754909
75,1,3,"Other_CVD","leg_tot",3.04347947059456,9.93733275435609,2.468355031722
75,1,4,"Other_CVD","leg_tot",1.06060321751336,3.42077842042119,4.90245327448919
25,0,1,"Cancer","leg_tot",8.80345587221,5.12044683453745,7.7038047253538
25,0,2,"Cancer","leg_tot",1.70697783541442,1.14052404163085,0.744467410032586
25,0,3,"Cancer","leg_tot",0.567591778310168,1.25222680477428,1.28518397534079
25,0,4,"Cancer","leg_tot",1.46832241292272,1.32988121339025,2.61741184929452
35,0,1,"Cancer","leg_tot",17.6895729865845,27.4934540566883,15.3294851906632
35,0,2,"Cancer","leg_tot",7.64467165302797,9.0265358387129,5.02505576239728
35,0,3,"Cancer","leg_tot",3.10641408194375,0.0780684911745959,0.574265196127881
35,0,4,"Cancer","leg_tot",0.103824518523546,3.44428278114958,0
45,0,1,"Cancer","leg_tot",87.4053150997007,121.887389095792,48.3412797585158
45,0,2,"Cancer","leg_tot",19.7715606762357,21.9775467029452,11.2239017804646
45,0,3,"Cancer","leg_tot",5.0078283918434,0,0.675335040967542
45,0,4,"Cancer","leg_tot",10.3973958691574,18.6196158795259,21.8817743887099
55,0,1,"Cancer","leg_tot",199.440625348207,254.614584774682,237.836403236591
55,0,2,"Cancer","leg_tot",35.0214250570392,30.574598453232,36.4425479786652
55,0,3,"Cancer","leg_tot",10.4627933162003,8.19134286316693,13.9045963890067
55,0,4,"Cancer","leg_tot",7.27350438728101,3.6179683845143,12.3936875839117
65,0,1,"Cancer","leg_tot",365.933140491457,399.897012740752,350.652775433704
65,0,2,"Cancer","leg_tot",31.4613001030632,32.3582030170642,32.2243473243003
65,0,3,"Cancer","leg_tot",6.64425095607957,0,5.40618048832178
65,0,4,"Cancer","leg_tot",3.62094824197625,1.62897324315573,0
75,0,1,"Cancer","leg_tot",234.93313243334,244.138223516966,198.914568382903
75,0,2,"Cancer","leg_tot",7.61771247566287,10.1508066629861,7.19102903457641
75,0,3,"Cancer","leg_tot",0.0191968824288007,0,0.0614372086283938
75,0,4,"Cancer","leg_tot",6.51466752279129,10.2473063528141,6.35917967057685
25,1,1,"Cancer","leg_tot",13.5585810328716,15.2790158817233,9.31886020269173
25,1,2,"Cancer","leg_tot",3.33225308404246,2.43321099116874,2.51302935422536
25,1,3,"Cancer","leg_tot",3.43470435042694,3.02404332543664,2.97878692016008
25,1,4,"Cancer","leg_tot",1.88884571079661,3.32266433258763,4.15392860944088
35,1,1,"Cancer","leg_tot",19.9060759749974,29.2612587295253,39.5920758968077
35,1,2,"Cancer","leg_tot",8.36781383478243,6.82990878564546,10.6562268590189
35,1,3,"Cancer","leg_tot",2.65112728917329,3.62454737669817,2.53936620437218
35,1,4,"Cancer","leg_tot",8.71072966987506,10.4991849661892,9.66142664309475
45,1,1,"Cancer","leg_tot",159.281100789173,136.893928193152,146.308504040544
45,1,2,"Cancer","leg_tot",20.9977110441616,19.4674292336709,20.9991503057334
45,1,3,"Cancer","leg_tot",11.1950465581058,10.4206149771029,17.2576589773831
45,1,4,"Cancer","leg_tot",12.958896221886,16.999790543923,12.9996031234157
55,1,1,"Cancer","leg_tot",366.436838576018,239.657795016884,344.735158114493
55,1,2,"Cancer","leg_tot",48.2283703859557,62.9756587748267,61.2728430530213
55,1,3,"Cancer","leg_tot",28.5325783866589,32.2694081357808,45.2328825774674
55,1,4,"Cancer","leg_tot",36.0126591201054,25.2292374365781,30.5952237245685
65,1,1,"Cancer","leg_tot",461.802807561835,263.46844757476,431.009200007431
65,1,2,"Cancer","leg_tot",43.1056958534274,40.1213390921818,26.7869518277772
65,1,3,"Cancer","leg_tot",6.12351790249257,12.4187703138216,3.48501571592263
65,1,4,"Cancer","leg_tot",23.2609165939913,15.090216993418,25.8996386457518
75,1,1,"Cancer","leg_tot",332.803598142273,368.15444481614,249.746939680782
75,1,2,"Cancer","leg_tot",0,13.8827305196887,41.3774942906252
75,1,3,"Cancer","leg_tot",8.66081904501304,19.1844574922104,6.08566964043574
75,1,4,"Cancer","leg_tot",4.39679151437179,9.89221390539314,15.6359243635071
25,0,1,"DIAB","leg_tot",3.97625314187847,6.35913642039156,4.16076205823028
25,0,2,"DIAB","leg_tot",4.56897100133126,4.24224964809863,4.2077858963423
25,0,3,"DIAB","leg_tot",0.261886533440659,0.161470015453229,0.571990740600884
25,0,4,"DIAB","leg_tot",0.325495305406088,0.189279145999689,0.0955986107875036
35,0,1,"DIAB","leg_tot",14.808553334069,15.0184901945048,12.6515277803857
35,0,2,"DIAB","leg_tot",18.5956402598304,14.5729477672798,14.8713257611612
35,0,3,"DIAB","leg_tot",3.16985786915122,0.0791485015523493,0.574064652953853
